"Ort","Bundesland","Bezeichnung","Kürzel","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Hamburg","Hamburg","Hamburg","(HH)",8.68571428571429,18.0714285714286,13.2310813492063,4,11.7
"Berlin","Berlin","Berlin","(BE)",9.17142857142857,19.1714285714286,12.7139333333333,5,1.1
"Warnemünde","Mecklenburg-Vorpommern","Warnemünde, Mecklenburg-Vorpommern","(MV)",8.54285714285714,15.9571428571429,12.531630952381,4,4.9
"Sankt Peter-Ording","Schleswig-Holstein","Sankt Peter-Ording, Schleswig-Holstein","(SH)",8.2,14.2,11.6133738095238,4,11.8
"Timmendorfer Strand","Schleswig-Holstein","Timmendorfer Strand, Schleswig-Holstein","(SH)",8.45714285714286,16.2571428571429,12.3355527777778,4,15.5
"Norderney","Niedersachsen","Norderney, Niedersachsen","(NI)",8.17142857142857,11.7714285714286,12.5298083333333,4,2.9
"Kühlungsborn","Mecklenburg-Vorpommern","Kühlungsborn, Mecklenburg-Vorpommern","(MV)",8.57142857142857,14.8,12.4865154761905,5,5.7
"Dresden","Sachsen","Dresden, Sachsen","(SN)",9.14285714285714,18.6428571428571,13.0008297619048,6,0.2
"München","Bayern","München, Bayern","(BY)",8.42857142857143,17.4428571428571,11.2979674603175,4,21.7
"Köln","Nordrhein-Westfalen","Köln, Nordrhein-Westfalen","(NW)",8.45714285714286,18.7714285714286,12.9490547619048,3,11.6
"Binz (Rügen)","Mecklenburg-Vorpommern","Binz (Rügen), Mecklenburg-Vorpommern","(MV)",8.68571428571429,15.6857142857143,12.5875392857143,5,4
"Cuxhaven","Niedersachsen","Cuxhaven, Niedersachsen","(NI)",8.48571428571429,15.9428571428571,12.4593968253968,4,5.8
"Leipzig","Sachsen","Leipzig, Sachsen","(SN)",9,18.0142857142857,12.7863257936508,6,1
"Frankfurt am Main","Hessen","Frankfurt am Main, Hessen","(HE)",8.82857142857143,19.1142857142857,12.3748055555556,5,3
"Grömitz","Schleswig-Holstein","Grömitz, Schleswig-Holstein","(SH)",8.51428571428571,15.8142857142857,12.06995,5,9.1
"Büsum","Schleswig-Holstein","Büsum, Schleswig-Holstein","(SH)",8.14285714285714,14.5142857142857,11.6317607142857,4,8.7
"Borkum","Niedersachsen","Borkum, Niedersachsen","(NI)",8.28571428571429,12.1142857142857,12.7492003968254,4,3.3
