"Ort","Land","Lat","Lon","Ort und Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland",52.510885,13.3989367,"Berlin, Deutschland",6.4,-0.9,8.008475,1,0
"München","Deutschland",48.1371079,11.5753822,"München, Deutschland",7.6,2.1,8.64468888888889,1,0
"Hamburg","Deutschland",53.550341,10.000654,"Hamburg, Deutschland",6.4,-0.3,7.82296666666667,1,0
"Köln","Deutschland",50.938361,6.959974,"Köln, Deutschland",6.4,5.4,0,1,0
"Dresden","Deutschland",51.0493286,13.7381437,"Dresden, Deutschland",7.2,1.9,6.5577,0,0.1
"Leipzig","Deutschland",51.3406321,12.3747329,"Leipzig, Deutschland",7.4,0.3,7.82916111111111,1,0
"Frankfurt am Main","Deutschland",50.1106444,8.6820917,"Frankfurt am Main, Deutschland",7.6,5,7.23953055555556,1,0
"Freiburg im Breisgau","Deutschland",47.9960901,7.8494005,"Freiburg im Breisgau, Deutschland",7.8,7.4,8.62207222222222,1,0
"Berchtesgaden","Deutschland",47.6330221,13.0020051,"Berchtesgaden, Deutschland",7.4,3.2,8.69509166666667,1,0
"Garmisch-Partenkirchen","Deutschland",47.4923741,11.0962815,"Garmisch-Partenkirchen, Deutschland",7.8,5.9,8.762975,1,0
"Binz (Rügen)","Deutschland",54.4010291,13.6076477,"Binz (Rügen), Deutschland",6,-0.4,5.30544444444444,1,0
"Heringsdorf (Usedom)","Deutschland",53.9574755379561,14.1561145382659,"Heringsdorf (Usedom), Deutschland",6.2,-0.4,7.70357777777778,1,0
"Westerland (Sylt)","Deutschland",54.9064856,8.3071734,"Westerland (Sylt), Deutschland",7.2,0.4,7.68632777777778,1,0
"Wernigerode (Harz)","Deutschland",51.8344172,10.7862526,"Wernigerode (Harz), Deutschland",6.8,0.3,2.23466111111111,1,0
"Cochem (Mosel)","Deutschland",50.1483916,7.1663195,"Cochem (Mosel), Deutschland",6.6,5.1,0,1,0
"Kempten (Allgäu)","Deutschland",47.7283301033609,10.3134956128828,"Kempten (Allgäu), Deutschland",7.6,3.1,8.70658333333333,1,0
"Nürnberg","Deutschland",49.453872,11.077298,"Nürnberg, Deutschland",7.2,2.3,4.86332222222222,1,0
"Münster","Deutschland",51.9625101,7.6251879,"Münster, Deutschland",7.8,7.3,7.62983055555556,1,0
"Stuttgart","Deutschland",48.7784485,9.1800132,"Stuttgart, Deutschland",7.6,4.4,6.56273333333333,1,0
"Norderney","Deutschland",53.7056126,7.1438175,"Norderney, Deutschland",7,1.3,7.95884166666667,0,0.8
"Erfurt","Deutschland",50.9777974,11.0287364,"Erfurt, Deutschland",6.8,0.1,1.69357777777778,1,0
"Bremen","Deutschland",53.0758196,8.8071646,"Bremen, Deutschland",6.4,-0.3,7.65423888888889,1,0
"Timmendorfer Strand","Deutschland",53.9981853,10.7799016,"Timmendorfer Strand, Deutschland",6.2,-1.1,7.28695833333333,1,0
"Karlsbad","Tschechien",50.2306216,12.8701437,"Karlsbad, Tschechien",6.2,2.1,0.419397222222222,0,0.1
"Enschede","Niederlande",52.2203520784103,6.89276277399481,"Enschede, Niederlande",7.8,6.8,7.11383333333333,1,0
"Pilsen","Tschechien",49.738291083662,13.373815095209,"Pilsen, Tschechien",6.2,1,0.00443611111111111,0,0.1
"Maastricht","Niederlande",50.8512438,5.6909768,"Maastricht, Niederlande",6,7.4,0,0,0.6
"Giethoorn","Niederlande",52.741105,6.077431,"Giethoorn, Niederlande",7.2,4.6,7.87312777777778,0,0.6
"Groningen","Niederlande",53.2194889849201,6.56569017951351,"Groningen, Niederlande",7,2.9,7.99728055555556,0,0.8
"Eindhoven","Niederlande",51.4380321789511,5.47601718115641,"Eindhoven, Niederlande",6.6,7.4,0,1,0
"Prag","Tschechien",50.0874654,14.4212535,"Prag, Tschechien",6.2,1.5,0.38935,0,0.1
"Luxemburg","Luxemburg",49.6121816191827,6.12761269146448,"Luxemburg",5.4,4.1,0.170677777777778,0,3
"Straßburg","Frankreich",48.584614,7.7507127,"Straßburg, Frankreich",7.8,6.5,8.56091388888889,1,0
"Amsterdam","Niederlande",52.3730796,4.8924534,"Amsterdam, Niederlande",8,6.2,8.07058333333333,1,0
"Dinant","Belgien",50.2591813,4.9130588,"Dinant, Belgien",6.2,8.7,0.0456833333333333,0,0.6
"Rotterdam","Niederlande",51.9244424,4.47775,"Rotterdam, Niederlande",7.6,7.2,7.16088055555556,1,0
"Antwerpen","Belgien",51.2211097,4.3997081,"Antwerpen, Belgien",6,8,0,0,0.8
"Zandvoort","Niederlande",52.3719838,4.5302209,"Zandvoort, Niederlande",8,6.5,8.05882777777778,1,0
"Český Krumlov","Tschechien",48.8106526,14.3150586,"Český Krumlov, Tschechien",7.4,2.4,5.39895277777778,1,0
"Terschelling","Niederlande",53.3643463061866,5.21443497127834,"Terschelling, Niederlande",7.4,4.3,7.93277777777778,1,0
"Noordwijk","Niederlande",52.2410856,4.4461969,"Noordwijk, Niederlande",8,6.7,8.04367777777778,1,0
"Bergen aan Zee","Niederlande",52.6607662,4.6316645,"Bergen aan Zee, Niederlande",7.8,5.9,8.03154444444444,1,0
"Nancy","Frankreich",48.6896465492961,6.18236505173213,"Nancy, Frankreich",7.6,5.5,8.34095833333333,1,0
"Brüssel","Belgien",50.8465573,4.351697,"Brüssel, Belgien",6.2,8.6,0.107941666666667,0,0.6
"Texel","Niederlande",53.0543143461686,4.79876535287512,"Texel, Niederlande",7.6,4.9,7.87634166666667,1,0
"Scheveningen","Niederlande",52.1067449,4.2736937,"Scheveningen, Niederlande",7.6,7.2,7.69070555555556,1,0
"Fåborg","Dänemark",55.097087,10.2428246,"Fåborg, Dänemark",4.4,-0.2,0,0,0.5
"Salzburg","Österreich",47.7981346,13.0464806,"Salzburg, Österreich",7.6,4,8.66486111111111,1,0
"Renesse","Niederlande",51.7311823,3.7719799,"Renesse, Niederlande",6.6,7.5,2.25701388888889,0,0.2
"Linz","Österreich",48.3059078,14.286198,"Linz, Österreich",7.6,4.9,6.708,1,0
"Zürich","Schweiz",47.3744489,8.5410422,"Zürich, Schweiz",7.6,4.9,8.68775555555556,1,0
"Basel","Schweiz",47.5589680548118,7.58875075727046,"Basel, Schweiz",7.8,6.3,8.63680555555556,1,0
"Innsbruck","Österreich",47.2654296,11.3927685,"Innsbruck, Österreich",7.6,6.8,8.79359166666667,1,0
"Domburg","Niederlande",51.5632141,3.4967277,"Domburg, Niederlande",5.8,7.4,0,0,0.6
"Breslau","Polen",51.1082644352883,17.0337679840311,"Breslau, Polen",5.6,-0.2,7.15184722222222,0,1.9
"Køge","Dänemark",55.4565009,12.1818964,"Køge, Dänemark",5.2,0.1,0,0,2.4
"Posen","Polen",52.4082663,16.9335199,"Posen, Polen",5.4,-4.5,4.90473888888889,0,1.2
"Zell am See","Österreich",47.3239636,12.7963165,"Zell am See, Österreich",7.6,6.1,8.73869722222222,1,0
"Brügge","Belgien",51.2085526,3.226772,"Brügge, Belgien",6.4,9.1,0,1,0
"Hallstatt","Österreich",47.5621698,13.6486697,"Hallstatt, Österreich",7.6,6.2,8.67916388888889,1,0
"Luzern","Schweiz",47.0505452,8.3054682,"Luzern, Schweiz",7.6,5.9,8.71248333333333,1,0
"De Haan","Belgien",51.2671194,3.0408427,"De Haan, Belgien",6.4,9.1,0,1,0
"Ostende","Belgien",51.2258565,2.919496,"Ostende, Belgien",6,9.2,0,0,0.8
"Kopenhagen","Dänemark",55.6867243,12.5700724,"Kopenhagen, Dänemark",5.4,0.3,0,0,1.7
"Malmö","Schweden",55.6052931,13.0001566,"Malmö, Schweden",5.6,0.4,0,0,1.2
"Brünn","Tschechien",49.1944262292563,16.6077238664507,"Brünn, Tschechien",6,1.5,0,1,0
"Meran","Italien",46.6695547,11.1594185,"Meran, Italien",7,6,8.89275277777778,1,0
"Bern","Schweiz",46.9484742,7.4521749,"Bern, Schweiz",7.8,5.6,8.70425277777778,1,0
"Bornholm","Dänemark",55.1431224,14.9226297,"Bornholm, Dänemark",5.6,0.9,0,0,1.6
"Aarhus","Dänemark",56.1496278,10.2134046,"Aarhus, Dänemark",4,-0.9,0,0,2.7
"St. Moritz","Schweiz",46.4978958,9.8392428,"St. Moritz, Schweiz",5.6,-2.2,8.81929166666667,1,0
"Hvide Sande","Dänemark",56.0057884,8.1288435,"Hvide Sande, Dänemark",4.6,-0.7,0,0,0.1
"Interlaken","Schweiz",46.6855231,7.8585139,"Interlaken, Schweiz",7.8,9,8.73424444444444,1,0
"Bozen","Italien",46.4984781,11.3547399,"Bozen, Italien",7.2,5.2,8.81794722222222,1,0
"Wien","Österreich",48.2083537,16.3725042,"Wien, Österreich",6.6,3.8,0.785863888888889,1,0
"Dijon","Frankreich",47.3306482417266,5.04637916570386,"Dijon, Frankreich",7.4,6.8,8.160225,1,0
"Ostrava","Tschechien",49.8357051466446,18.2847749462072,"Ostrava, Tschechien",5.4,0.7,0,0,1.5
"Klagenfurt am Wörthersee","Österreich",46.623943,14.3075976,"Klagenfurt am Wörthersee, Österreich",5.8,4.5,8.20565277777778,0,0
"Riva del Garda","Italien",45.8847708,10.8396942,"Riva del Garda, Italien",6.8,6.4,8.88345833333333,0,0
"Graz","Österreich",47.0708678,15.4382786,"Graz, Österreich",7,2.2,6.10221111111111,1,0
