"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"14.04.2026",9,13.9,13,0,0
"15.04.2026",9.2,16.6,11.8209083333333,0,0
"16.04.2026",7.6,16.1,7.83536388888889,1,0
"17.04.2026",7.4,14.4,1.30263611111111,0.3,0
"18.04.2026",8,18.3,9.54635277777778,2.24,0
"19.04.2026",6.4,12.2,10.7384944444444,3.3,0
"20.04.2026",8.2,10.1,10.1283527777778,0,0
"21.04.2026",8.6,12.4,14.2133416666667,0,0
"22.04.2026",8.6,12.1,14.2803416666667,0,0
"23.04.2026",8.4,12.9,14.3470194444444,0,0
"24.04.2026",8.4,10.8,13.1924694444444,0,0
